county,technology,columns,type,number
Lake,Optical,1,4,36571
Lake,Optical,1,5,204
Lake,Optical,1,6,1460
Lake,Optical,1,7,4
Lake,Optical,1,8,36
Lake,Optical,1,9,289
Lake,Optical,1,10,1
Lake,Optical,1,11,21
Lake,Optical,1,12,15
Lake,Optical,1,13,0
Lake,Optical,1,14,0
Lee,Votomatic,1,1,1975
Lee,Votomatic,1,2,2531
Lee,Votomatic,1,3,106141
Lee,Votomatic,1,4,73560
Lee,Votomatic,1,5,538
Lee,Votomatic,1,6,3587
Lee,Votomatic,1,7,30
Lee,Votomatic,1,8,81
Lee,Votomatic,1,9,305
Lee,Votomatic,1,10,5
Lee,Votomatic,1,11,34
Lee,Votomatic,1,12,96
Lee,Votomatic,1,13,0
Lee,Votomatic,1,14,0
Leon,Optical,1,1,176
Leon,Optical,1,2,0
Leon,Optical,1,3,39062
Leon,Optical,1,4,61427
Leon,Optical,1,5,330
Leon,Optical,1,6,1932
Leon,Optical,1,7,9
Leon,Optical,1,8,28
Leon,Optical,1,9,282
Leon,Optical,1,10,7
Leon,Optical,1,11,16
Leon,Optical,1,12,31
Leon,Optical,1,13,0
Leon,Optical,1,14,0
Levy,Optical,2,1,51
Levy,Optical,2,2,708
Levy,Optical,2,3,6858
Levy,Optical,2,4,5398
Levy,Optical,2,5,92
Levy,Optical,2,6,284
Levy,Optical,2,7,1
Levy,Optical,2,8,1
Levy,Optical,2,9,67
Levy,Optical,2,10,1
Levy,Optical,2,11,10
Levy,Optical,2,12,12
Levy,Optical,2,13,0
Levy,Optical,2,14,0
Liberty,Optical,2,1,21
Liberty,Optical,2,2,167
Liberty,Optical,2,3,1317
Liberty,Optical,2,4,1017
Liberty,Optical,2,5,12
Liberty,Optical,2,6,19
Liberty,Optical,2,7,0
Liberty,Optical,2,8,3
Liberty,Optical,2,9,39
Liberty,Optical,2,10,0
Liberty,Optical,2,11,1
Liberty,Optical,2,12,2
Liberty,Optical,2,13,0
Liberty,Optical,2,14,0
Madison,Datavote,1,1,31
Madison,Datavote,1,2,444
Madison,Datavote,1,3,3038
Madison,Datavote,1,4,3014
Madison,Datavote,1,5,18
Madison,Datavote,1,6,54
Madison,Datavote,1,7,0
Madison,Datavote,1,8,2
Madison,Datavote,1,9,29
Madison,Datavote,1,10,1
Madison,Datavote,1,11,1
Madison,Datavote,1,12,5
Madison,Datavote,1,13,0
Madison,Datavote,1,14,0
Manatee,Optical,1,1,109
Manatee,Optical,1,2,1264
Manatee,Optical,1,3,57952
Manatee,Optical,1,4,49177
Manatee,Optical,1,5,242
Manatee,Optical,1,6,2491
Manatee,Optical,1,7,5
Manatee,Optical,1,8,35
Manatee,Optical,1,9,271
Manatee,Optical,1,10,3
Manatee,Optical,1,11,19
Manatee,Optical,1,12,26
Manatee,Optical,1,13,0
Manatee,Optical,1,14,0
Marion,Votomatic,1,1,2410
Marion,Votomatic,1,2,890
Marion,Votomatic,1,3,55141
Marion,Votomatic,1,4,44665
Marion,Votomatic,1,5,662
Marion,Votomatic,1,6,1809
Marion,Votomatic,1,7,13
Marion,Votomatic,1,8,26
Marion,Votomatic,1,9,563
Marion,Votomatic,1,10,6
Marion,Votomatic,1,11,22
Marion,Votomatic,1,12,49
Marion,Votomatic,1,13,0
Marion,Votomatic,1,14,0
Martin,Lever,1,1,177
Martin,Lever,1,2,56
Martin,Lever,1,3,33970
Martin,Lever,1,4,26620
Martin,Lever,1,5,109
Martin,Lever,1,6,1118
Martin,Lever,1,7,14
Martin,Lever,1,8,29
Martin,Lever,1,9,112
Martin,Lever,1,10,7
Martin,Lever,1,11,20
Martin,Lever,1,12,14
Martin,Lever,1,13,0
Martin,Lever,1,14,0
MiamiDade,Votomatic,1,1,10570
MiamiDade,Votomatic,1,2,17833
MiamiDade,Votomatic,1,3,289533
MiamiDade,Votomatic,1,4,328808
MiamiDade,Votomatic,1,5,762
MiamiDade,Votomatic,1,6,5352
MiamiDade,Votomatic,1,7,87
MiamiDade,Votomatic,1,8,119
MiamiDade,Votomatic,1,9,560
MiamiDade,Votomatic,1,10,35
MiamiDade,Votomatic,1,11,69
MiamiDade,Votomatic,1,12,124
MiamiDade,Votomatic,1,13,0
MiamiDade,Votomatic,1,14,0
Monroe,Optical,1,1,83
Monroe,Optical,1,2,97
Monroe,Optical,1,3,16059
Monroe,Optical,1,4,16483
Monroe,Optical,1,5,162
Monroe,Optical,1,6,1090
Monroe,Optical,1,7,1
Monroe,Optical,1,8,26
Monroe,Optical,1,9,47
Monroe,Optical,1,10,0
Monroe,Optical,1,11,3
Monroe,Optical,1,12,7
Monroe,Optical,1,13,9
Monroe,Optical,1,14,0
Nassau,Datavote,2,1,197
Nassau,Datavote,2,2,1295
Nassau,Datavote,2,3,16404
Nassau,Datavote,2,4,6952
Nassau,Datavote,2,5,63
Nassau,Datavote,2,6,253
Nassau,Datavote,2,7,0
Nassau,Datavote,2,8,8
Nassau,Datavote,2,9,90
Nassau,Datavote,2,10,4
Nassau,Datavote,2,11,3
Nassau,Datavote,2,12,3
Nassau,Datavote,2,13,0
Nassau,Datavote,2,14,0
Okaloosa,Optical,1,1,83
Okaloosa,Optical,1,2,679
Okaloosa,Optical,1,3,52093
Okaloosa,Optical,1,4,16948
Okaloosa,Optical,1,5,313
Okaloosa,Optical,1,6,985
Okaloosa,Optical,1,7,4
Okaloosa,Optical,1,8,15
Okaloosa,Optical,1,9,267
Okaloosa,Optical,1,10,2
Okaloosa,Optical,1,11,33
Okaloosa,Optical,1,12,20
Okaloosa,Optical,1,13,0
Okaloosa,Optical,1,14,0
Okeechobee,Optical,2,1,84
Okeechobee,Optical,2,2,774
Okeechobee,Optical,2,3,5057
Okeechobee,Optical,2,4,4588
Okeechobee,Optical,2,5,21
Okeechobee,Optical,2,6,131
Okeechobee,Optical,2,7,1
Okeechobee,Optical,2,8,4
Okeechobee,Optical,2,9,43
Okeechobee,Optical,2,10,1
Okeechobee,Optical,2,11,3
Okeechobee,Optical,2,12,4
Okeechobee,Optical,2,13,0
Okeechobee,Optical,2,14,0
Orange,Optical,1,1,640
Orange,Optical,1,2,1197
Orange,Optical,1,3,134517
Orange,Optical,1,4,140220
Orange,Optical,1,5,891
Orange,Optical,1,6,3879
Orange,Optical,1,7,13
Orange,Optical,1,8,65
Orange,Optical,1,9,446
Orange,Optical,1,10,7
Orange,Optical,1,11,41
Orange,Optical,1,12,46
Orange,Optical,1,13,0
Orange,Optical,1,14,0
Osceola,Votomatic,1,1,634
Osceola,Votomatic,1,2,1039
Osceola,Votomatic,1,3,26212
Osceola,Votomatic,1,4,28181
Osceola,Votomatic,1,5,309
Osceola,Votomatic,1,6,732
Osceola,Votomatic,1,7,10
Osceola,Votomatic,1,8,20
Osceola,Votomatic,1,9,145
Osceola,Votomatic,1,10,5
Osceola,Votomatic,1,11,10
Osceola,Votomatic,1,12,33
Osceola,Votomatic,1,13,1
Osceola,Votomatic,1,14,0
PalmBeach,Votomatic,2,1,10134
PalmBeach,Votomatic,2,2,19218
PalmBeach,Votomatic,2,3,152951
PalmBeach,Votomatic,2,4,269732
PalmBeach,Votomatic,2,5,743
PalmBeach,Votomatic,2,6,5565
PalmBeach,Votomatic,2,7,45
PalmBeach,Votomatic,2,8,143
PalmBeach,Votomatic,2,9,3411
PalmBeach,Votomatic,2,10,302
PalmBeach,Votomatic,2,11,190
PalmBeach,Votomatic,2,12,104
PalmBeach,Votomatic,2,13,0
PalmBeach,Votomatic,2,14,0
Pasco,Votomatic,1,1,1763
Pasco,Votomatic,1,2,2124
Pasco,Votomatic,1,3,68582
Pasco,Votomatic,1,4,69564
Pasco,Votomatic,1,5,413
Pasco,Votomatic,1,6,3393
Pasco,Votomatic,1,7,19
Pasco,Votomatic,1,8,83
Pasco,Votomatic,1,9,570
Pasco,Votomatic,1,10,14
Pasco,Votomatic,1,11,16
Pasco,Votomatic,1,12,77
Pasco,Votomatic,1,13,0
Pasco,Votomatic,1,14,0
Pinellas,Votomatic,1,1,4240
Pinellas,Votomatic,1,2,4258
Pinellas,Votomatic,1,3,184825
Pinellas,Votomatic,1,4,200630
Pinellas,Votomatic,1,5,1230
Pinellas,Votomatic,1,6,10022
Pinellas,Votomatic,1,7,41
Pinellas,Votomatic,1,8,442
Pinellas,Votomatic,1,9,1013
Pinellas,Votomatic,1,10,27
Pinellas,Votomatic,1,11,72
Pinellas,Votomatic,1,12,170
Pinellas,Votomatic,1,13,0
Pinellas,Votomatic,1,14,0
Polk,Optical,1,1,219
Polk,Optical,1,2,668
Polk,Optical,1,3,90295
Polk,Optical,1,4,75200
Polk,Optical,1,5,366
Polk,Optical,1,6,2059
Polk,Optical,1,7,8
Polk,Optical,1,8,59
Polk,Optical,1,9,533
Polk,Optical,1,10,5
Polk,Optical,1,11,46
Polk,Optical,1,12,36
Polk,Optical,1,13,0
Polk,Optical,1,14,0
Putnam,Optical,1,1,82
Putnam,Optical,1,2,79
Putnam,Optical,1,3,13447
Putnam,Optical,1,4,12102
Putnam,Optical,1,5,114
Putnam,Optical,1,6,377
Putnam,Optical,1,7,2
Putnam,Optical,1,8,7
Putnam,Optical,1,9,148
Putnam,Optical,1,10,3
Putnam,Optical,1,11,10
Putnam,Optical,1,12,12
Putnam,Optical,1,13,0
Putnam,Optical,1,14,0
SantaRosa,Optical,1,1,163
SantaRosa,Optical,1,2,67
SantaRosa,Optical,1,3,36274
SantaRosa,Optical,1,4,12802
SantaRosa,Optical,1,5,131
SantaRosa,Optical,1,6,724
SantaRosa,Optical,1,7,1
SantaRosa,Optical,1,8,13
SantaRosa,Optical,1,9,311
SantaRosa,Optical,1,10,1
SantaRosa,Optical,1,11,43
SantaRosa,Optical,1,12,19
SantaRosa,Optical,1,13,0
SantaRosa,Optical,1,14,0
Sarasota,Votomatic,1,1,1846
Sarasota,Votomatic,1,2,994
Sarasota,Votomatic,1,3,83100
Sarasota,Votomatic,1,4,72853
Sarasota,Votomatic,1,5,431
Sarasota,Votomatic,1,6,4069
Sarasota,Votomatic,1,7,11
Sarasota,Votomatic,1,8,94
Sarasota,Votomatic,1,9,305
Sarasota,Votomatic,1,10,5
Sarasota,Votomatic,1,11,15
Sarasota,Votomatic,1,12,59
Sarasota,Votomatic,1,13,0
Sarasota,Votomatic,1,14,0
Seminole,Optical,1,1,203
Seminole,Optical,1,2,48
Seminole,Optical,1,3,75677
Seminole,Optical,1,4,59174
Seminole,Optical,1,5,550
Seminole,Optical,1,6,1946
Seminole,Optical,1,7,6
Seminole,Optical,1,8,38
Seminole,Optical,1,9,194
Seminole,Optical,1,10,5
Seminole,Optical,1,11,18
Seminole,Optical,1,12,26
Seminole,Optical,1,13,0
Seminole,Optical,1,14,0
StJohns,Optical,1,1,426
StJohns,Optical,1,2,130
StJohns,Optical,1,3,39546
StJohns,Optical,1,4,19502
StJohns,Optical,1,5,210
StJohns,Optical,1,6,1217
StJohns,Optical,1,7,4
StJohns,Optical,1,8,11
StJohns,Optical,1,9,229
StJohns,Optical,1,10,2
StJohns,Optical,1,11,12
StJohns,Optical,1,12,13
StJohns,Optical,1,13,0
StJohns,Optical,1,14,0
StLucie,Optical,1,1,537
StLucie,Optical,1,2,82
StLucie,Optical,1,3,34705
StLucie,Optical,1,4,41559
StLucie,Optical,1,5,165
StLucie,Optical,1,6,1368
StLucie,Optical,1,7,4
StLucie,Optical,1,8,12
StLucie,Optical,1,9,124
StLucie,Optical,1,10,10
StLucie,Optical,1,11,13
StLucie,Optical,1,12,29
StLucie,Optical,1,13,0
StLucie,Optical,1,14,0
Sumter,Votomatic,1,1,596
Sumter,Votomatic,1,2,170
Sumter,Votomatic,1,3,12127
Sumter,Votomatic,1,4,9637
Sumter,Votomatic,1,5,53
Sumter,Votomatic,1,6,306
Sumter,Votomatic,1,7,2
Sumter,Votomatic,1,8,2
Sumter,Votomatic,1,9,114
Sumter,Votomatic,1,10,0
Sumter,Votomatic,1,11,3
Sumter,Votomatic,1,12,17
Sumter,Votomatic,1,13,0
Sumter,Votomatic,1,14,0
Suwannee,Optical,2,1,39
Suwannee,Optical,2,2,686
Suwannee,Optical,2,3,8006
Suwannee,Optical,2,4,4075
Suwannee,Optical,2,5,52
Suwannee,Optical,2,6,180
Suwannee,Optical,2,7,2
Suwannee,Optical,2,8,4
Suwannee,Optical,2,9,108
Suwannee,Optical,2,10,0
Suwannee,Optical,2,11,9
Suwannee,Optical,2,12,5
Suwannee,Optical,2,13,16
Suwannee,Optical,2,14,0
Taylor,Optical,2,1,87
Taylor,Optical,2,2,517
Taylor,Optical,2,3,4056
Taylor,Optical,2,4,2649
Taylor,Optical,2,5,4
Taylor,Optical,2,6,59
Taylor,Optical,2,7,0
Taylor,Optical,2,8,3
Taylor,Optical,2,9,27
Taylor,Optical,2,10,1
Taylor,Optical,2,11,8
Taylor,Optical,2,12,1
Taylor,Optical,2,13,0
Taylor,Optical,2,14,0
Union,Hand,2,1,25
Union,Hand,2,2,233
Union,Hand,2,3,2332
Union,Hand,2,4,1407
Union,Hand,2,5,15
Union,Hand,2,6,33
Union,Hand,2,7,1
Union,Hand,2,8,0
Union,Hand,2,9,37
Union,Hand,2,10,0
Union,Hand,2,11,1
Union,Hand,2,12,0
Union,Hand,2,13,0
Union,Hand,2,14,0
Volusia,Optical,1,1,339
Volusia,Optical,1,2,171
Volusia,Optical,1,3,82357
Volusia,Optical,1,4,97304
Volusia,Optical,1,5,444
Volusia,Optical,1,6,2910
Volusia,Optical,1,7,8
Volusia,Optical,1,8,36
Volusia,Optical,1,9,498
Volusia,Optical,1,10,5
Volusia,Optical,1,11,20
Volusia,Optical,1,12,70
Volusia,Optical,1,13,0
Volusia,Optical,1,14,1
Wakulla,Datavote,1,1,49
Wakulla,Datavote,1,2,373
Wakulla,Datavote,1,3,4512
Wakulla,Datavote,1,4,3838
Wakulla,Datavote,1,5,30
Wakulla,Datavote,1,6,149
Wakulla,Datavote,1,7,2
Wakulla,Datavote,1,8,3
Wakulla,Datavote,1,9,46
Wakulla,Datavote,1,10,1
Wakulla,Datavote,1,11,0
Wakulla,Datavote,1,12,6
Wakulla,Datavote,1,13,0
Wakulla,Datavote,1,14,0
Walton,Optical,1,1,135
Walton,Optical,1,2,72
Walton,Optical,1,3,12182
Walton,Optical,1,4,5642
Walton,Optical,1,5,68
Walton,Optical,1,6,265
Walton,Optical,1,7,3
Walton,Optical,1,8,11
Walton,Optical,1,9,120
Walton,Optical,1,10,2
Walton,Optical,1,11,7
Walton,Optical,1,12,18
Walton,Optical,1,13,0
Walton,Optical,1,14,0
Washington,Optical,1,1,305
Washington,Optical,1,2,36
Washington,Optical,1,3,4994
Washington,Optical,1,4,2798
Washington,Optical,1,5,32
Washington,Optical,1,6,93
Washington,Optical,1,7,0
Washington,Optical,1,8,2
Washington,Optical,1,9,88
Washington,Optical,1,10,0
Washington,Optical,1,11,9
Washington,Optical,1,12,5
Washington,Optical,1,13,3
Washington,Optical,1,14,1
